Shared Block Name,Variant,Used On Templates,Field Name,Field Type,Required,Description
Video,Default,"Homepage, Landing/Promo",Video URL,Link,Yes,YouTube or Vimeo embed URL
Video,Default,"Homepage, Landing/Promo",Poster Image,Image,No,Thumbnail image shown before video plays
Video,Default,"Homepage, Landing/Promo",Caption,Text,No,Optional text caption below video
Filter,Sidebar,Product Collection,Filter Group Name,Text,Yes,Filter category label (repeatable)
Filter,Sidebar,Product Collection,Filter Options,Text,Yes,Available filter values within each group (repeatable)
Filter,Gallery,Gallery,Filter Category Name,Text,Yes,Filter group name (repeatable)
Filter,Gallery,Gallery,Filter Options,Text,Yes,Available filter values within each category
Form,Contact,Contact,Form Title,Text,Yes,Contact page heading
Form,Contact,Contact,Form Description,Text,No,Introductory text above the form
Form,Contact,Contact,Field Labels,Text,Yes,Labels for form fields (Name / Email / Subject / Message)
Form,Contact,Contact,Submit Button Label,Text,Yes,Submit button text
Form,Contact,Contact,Success Message,Text,No,Confirmation message shown after submission
Form,Privacy,Legal/Policy,Form Title,Text,Yes,Form heading (e.g. Exercise Your Privacy Rights)
Form,Privacy,Legal/Policy,Form Description,Text,No,Instructional text above the form
Form,Privacy,Legal/Policy,Form Fields,Text,Yes,Field labels for the DSAR form (name / email / request type)
Form,Privacy,Legal/Policy,Submit Button Label,Text,Yes,Form submission button text
Category Tiles,Default,Homepage,Tile Image,Image,Yes,Visual image for the category tile (repeatable)
Category Tiles,Default,Homepage,Tile Label,Text,Yes,Category name displayed on the tile
Category Tiles,Default,Homepage,Tile Link,Link,Yes,URL destination for the category
CTA Banner,Default,Homepage,Banner Image (Desktop),Image,Yes,Full-width promotional banner image
CTA Banner,Default,Homepage,Banner Image (Mobile),Image,No,Mobile-optimized banner image
CTA Banner,Default,Homepage,Headline,Text,No,Promotional headline text overlay
CTA Banner,Default,Homepage,CTA Label,Text,Yes,Button text for the banner CTA
CTA Banner,Default,Homepage,CTA Link,Link,Yes,URL destination for the banner CTA
Product Gallery,Default,Product Detail,Product Image,Image,Yes,Primary product image (repeatable - supports multiple)
Product Gallery,Default,Product Detail,Alt Text,Text,Yes,Accessible alt text for each image
Product Gallery,Default,Product Detail,Lifestyle Image,Image,No,Optional lifestyle photography showing product in use
Product Info,Default,Product Detail,Product Title,Text,Yes,Full product name
Product Info,Default,Product Detail,Subtitle/Tagline,Text,No,Short marketing tagline
Product Info,Default,Product Detail,Price,Text,Yes,Product price
Product Info,Default,Product Detail,Description,Rich Text,Yes,Product description with key benefits and claims
Product Info,Default,Product Detail,Key Benefits,Rich Text,No,Bulleted list of product benefits/features
Product Info,Default,Product Detail,Badge,Text,No,Product badge (Best Seller / New / Award Winner)
Product Info,Default,Product Detail,Size/Volume,Text,No,Product size options
Product Info,Default,Product Detail,SKU,Text,No,Product SKU or reference number
Shade Selector,Default,Product Detail,Shade Name,Text,Yes,Display name for each shade option (repeatable)
Shade Selector,Default,Product Detail,Shade Number,Text,No,Numeric shade code
Shade Selector,Default,Product Detail,Shade Swatch Image,Image,Yes,Color swatch image for each shade
Shade Selector,Default,Product Detail,Shade Product Image,Image,No,Product image variant for each shade
Add to Cart,Default,Product Detail,Button Label,Text,Yes,Add to cart button text
Add to Cart,Default,Product Detail,Quantity Default,Number,No,Default quantity value
Add to Cart,Default,Product Detail,Retailer Links,Link,No,External retailer purchase links (repeatable)
Virtual Try-On,Default,Product Detail,Enable Try-On,Boolean,Yes,Toggle to enable/disable virtual try-on feature
Virtual Try-On,Default,Product Detail,Try-On Button Label,Text,No,Button text (e.g. Try It Now)
Product Tabs,Default,Product Detail,Details Content,Rich Text,Yes,Detailed product information text
Product Tabs,Default,Product Detail,Ingredients Content,Rich Text,No,Full ingredient listing
Product Tabs,Default,Product Detail,How to Use Content,Rich Text,No,Application instructions and directions
Customer Reviews,Default,Product Detail,Enable Reviews,Boolean,Yes,Toggle to show/hide reviews section
Customer Reviews,Default,Product Detail,Review Source,Text,No,Third-party review integration identifier
Social Share,Default,Blog Article,Facebook Share,Boolean,No,Enable Facebook share button
Social Share,Default,Blog Article,Twitter Share,Boolean,No,Enable Twitter share button
Social Share,Default,Blog Article,Pinterest Share,Boolean,No,Enable Pinterest share button
Product Callout,Default,Blog Article,Product Image,Image,Yes,Product image within article content
Product Callout,Default,Blog Article,Product Name,Text,Yes,Product name as displayed inline
Product Callout,Default,Blog Article,Product Link,Link,Yes,URL to the product page
Product Callout,Default,Blog Article,Short Description,Text,No,Brief product pitch or context text
Article Card Grid,Default,Blog Listing,Article Thumbnail,Image,Yes,Article preview image (repeatable)
Article Card Grid,Default,Blog Listing,Article Title,Text,Yes,Article headline
Article Card Grid,Default,Blog Listing,Excerpt,Text,No,Short preview text or summary
Article Card Grid,Default,Blog Listing,Article Link,Link,Yes,URL to full article
Article Card Grid,Default,Blog Listing,Category Tag,Text,No,Article category label
Image Gallery,Default,Gallery,Gallery Image,Image,Yes,Image for the gallery grid (repeatable)
Image Gallery,Default,Gallery,Image Caption,Text,No,Optional caption or description text
Image Gallery,Default,Gallery,Image Link,Link,No,Optional link destination when image is clicked
Image Gallery,Default,Gallery,Product Tag,Text,No,Associated product name for the image
Retailer Grid,Default,Where to Buy,Retailer Logo,Image,Yes,Logo image for each retailer (repeatable)
Retailer Grid,Default,Where to Buy,Retailer Name,Text,Yes,Retailer display name
Retailer Grid,Default,Where to Buy,Retailer Link,Link,No,URL to retailer product page or store locator
Retailer Grid,Default,Where to Buy,Availability Type,Text,No,Category designation (Primary / Secondary / Also Available)
Store Locator,Default,"Where to Buy, Revlon",Retailer List,Text,Yes,Dropdown list of available retailers for location search
Store Locator,Default,"Where to Buy, Revlon",Search Label,Text,No,Instructional text (e.g. Choose a retailer below)
Store Locator,Default,"Where to Buy, Revlon",Button Label,Text,Yes,Find store button text
Pull Quote,Default,Landing/Promo,Quote Text,Text,Yes,Quotation text from ambassador or campaign
Pull Quote,Default,Landing/Promo,Attribution,Text,No,Name or source of the quote
Pull Quote,Default,Landing/Promo,Background Image,Image,No,Optional background image for quote section
Timeline,Default,About,Milestone Year,Text,Yes,Year for each timeline entry (repeatable)
Timeline,Default,About,Milestone Title,Text,Yes,Title or event name for each milestone
Timeline,Default,About,Milestone Description,Text,No,Description text for each milestone
Timeline,Default,About,Milestone Image,Image,No,Optional image for each milestone entry
Promo Content,Default,"Monthly Specials",Featured Image,Image,No,Promotional product or campaign image
Promo Content,Default,"Monthly Specials",Headline,Text,Yes,Monthly special headline
Promo Content,Default,"Monthly Specials",Body Text,Rich Text,No,Promotional details and offer description
Promo Content,Default,"Monthly Specials",CTA Label,Text,No,Optional CTA button text
Promo Content,Default,"Monthly Specials",CTA Link,Link,No,CTA destination URL
Promo Content,Default,"Monthly Specials",Product References,Product Link,No,Links to featured products (repeatable)
Quiz Container,Default,Quiz/Interactive,Quiz Title,Text,Yes,Quiz heading displayed at top
Quiz Container,Default,Quiz/Interactive,Introduction Text,Text,No,Introductory paragraph explaining the quiz
Quiz Container,Default,Quiz/Interactive,Question Text,Text,Yes,Question text for each step (repeatable)
Quiz Container,Default,Quiz/Interactive,Answer Option Label,Text,Yes,Text for each answer choice (repeatable per question)
Quiz Container,Default,Quiz/Interactive,Answer Option Image,Image,No,Optional image for each answer choice
Quiz Container,Default,Quiz/Interactive,Result Category Name,Text,Yes,Name for each result profile (repeatable)
Quiz Container,Default,Quiz/Interactive,Result Description,Text,Yes,Description text for each result
Quiz Container,Default,Quiz/Interactive,Result Product Image,Image,Yes,Product image for recommendation (repeatable per result)
Quiz Container,Default,Quiz/Interactive,Result Product Name,Text,Yes,Recommended product name
Quiz Container,Default,Quiz/Interactive,Result Product Link,Link,Yes,URL to recommended product
Quiz Container,Default,Quiz/Interactive,Result Product Price,Text,No,Price of recommended product
